PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.00295 uM,Activity at 0.015 uM,Activity at 0.074 uM,Activity at 0.369 uM,Activity at 1.843 uM,Activity at 9.217 uM,Activity at 46.08 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
236,50104195,3883,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Inconclusive,10,,,Activator,17.7828,124.869,,Partial curve; high efficacy,-4.75,0.9,0.9308,130.406,5.537,2.1,0 0 0 0 0 0 0,101.114,0.0647,7.9201,-3.2102,15.8829,32.4134,37.9405,101.114,QC'd by SigmaAldrich
237,50104882,197690,CC#CCOC(=O)C1=C(N=C2C(=C1N)C3=C(S2)CC(CC3)O)C,Inconclusive,10,,,Activator,15.8489,85.455,,Partial curve; partial efficacy,-4.8,1.21,0.9828,89.0281,3.5731,2.2,0 0 0 0 1 0 0,70.8042,2.2283,2.8648,-0.6512,11.1107,54.336,31.9278,70.8042,QC'd by SigmaAldrich
238,50107014,5329098,CC1=CC(=C(N1)/C=C\2/C3=CC=CC=C3NC2=O)C,Inconclusive,10,,,Activator,35.4813,69.4116,,Single point of activity,-4.45,4.9549,0.949,65.635,-3.7766,3,0 0 0 0 0 0 0,51.3433,-5.4676,-4.289,-5.5221,-1.1014,4.6084,-11.1685,51.3433,QC'd by SigmaAldrich
239,50104016,5281670,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,Inconclusive,10,,,Activator,12.5893,47.9802,,Partial curve; partial efficacy,-4.9,4.9549,0.9826,54.9023,6.9221,2.2,1 0 1 0 0 0 0,54.9563,21.437,6.4321,23.1197,3.3982,11.1762,15.3406,54.9563,QC'd by SigmaAldrich
240,50106396,9351,C1=CC=C2C(=C1)C=NN=C2NN.Cl,Inconclusive,10,,,Activator,0.1413,64.8682,,Complete curve; partial efficacy,-6.85,1.8079,0.9985,70.0594,5.1911,1.2,0 0 0 0 1 0 0,71.96,6.4712,5.783,20.4844,59.2512,103.096,69.2275,71.96,QC'd by SigmaAldrich
241,50106183,53708,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,Inconclusive,10,,,Activator,14.1254,55.4712,,Single point of activity,-4.85,4.095,0.7009,46.4803,-8.9909,3,0 0 0 1 0 0 0,46.2701,7.3253,-1.6432,-5.3176,40.4092,-35.5122,-0.9348,46.2701,QC'd by SigmaAldrich
242,50104764,5311432,CC1=NC(=CC=C1)/C=C/C2=CC=CC=C2,Inconclusive,10,,,Activator,2.5119,83.9784,,Complete curve; high efficacy,-5.6,1.9673,0.9325,91.444,7.4656,1.1,0 0 0 0 0 0 0,86.089,21.7873,14.3331,-9.3561,6.3494,33.8799,91.687,86.089,QC'd by SigmaAldrich
243,50106182,10158019,CCCN(CCC)CCC1=CNC2=C1C=C(C=C2)C(=O)N.C(=C\C(=O)O)\C(=O)O,Inconclusive,10,,,Activator,0.01,31.0978,,Complete curve; partial efficacy; poor fit,-8,3.6272,0.5358,35.0978,4,1.4,0 0 0 0 1 0 0,27.7779,4.4326,29.1622,28.7921,57.3377,70.1125,26.8444,27.7779,QC'd by SigmaAldrich
244,50107020,5311308,C1=CC(=CC(=C1)F)C2=C(N=CS2)C(=O)NCCN.Cl,Inconclusive,10,,,Activator,5.6234,56.5834,,Single point of activity,-5.25,4.9549,0.9087,49.5698,-7.0136,3,1 0 0 0 0 0 1,-4.9028,-28.1692,3.2642,-3.1957,-12.3357,-15.0158,45.0916,-4.9028,QC'd by SigmaAldrich
245,50105829,6603339,CP(=O)(CCCN)O.Cl,Inconclusive,10,,,Activator,0.3981,46.6265,,Complete curve; partial efficacy,-6.4,1.5095,0.977,61.6476,15.0211,1.2,0 0 0 0 1 0 0,56.8332,16.3148,12.7462,19.7528,36.3826,-1.2543,66.2202,56.8332,QC'd by SigmaAldrich
246,50104762,4713,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2,Inconclusive,10,,,Activator,1.9953,120.521,,Partial curve; high efficacy,-5.7,0.8,0.9708,128.214,7.6928,2.1,1 0 0 0 0 0 1,22.5285,33.3874,2.9052,22.1155,36.4711,58.7833,105.477,22.5285,QC'd by SigmaAldrich
247,50104331,40539,C([C@@H](C(=O)O)N)N1C(=O)NC(=O)O1,Inconclusive,10,,,Activator,5.6234,39,,Single point of activity,-5.25,4.9549,0.9561,52.5,13.5,3,0 0 0 0 0 0 1,22.4555,13.5771,18.5379,9.4691,15.3658,11.7897,49.418,22.4555,QC'd by SigmaAldrich
248,50104766,5218788,CC1=NC(=C(C=C1)O)N=NC2=CC=CC=C2,Inconclusive,10,,,Activator,0.5012,97.7892,,Complete curve; high efficacy,-6.3,4.5045,0.9454,98.8971,1.1079,1.1,0 0 0 0 0 0 1,-41.7296,15.8605,-14.0143,0.641,21.1442,109.607,88.1317,-41.7296,QC'd by SigmaAldrich
249,50105751,69398,C(CCN)CC(=O)O.Cl,Inconclusive,10,,,Activator,0.0045,36.7559,,Complete curve; partial efficacy; poor fit,-8.35,4.9549,0.6548,31.2034,-5.5526,1.4,0 0 0 0 1 0 0,49.1067,-1.263,32.1496,20.7433,27.0934,8.3424,27.1653,49.1067,QC'd by SigmaAldrich
250,50106550,72430,CC(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C=O)NC(=O)OCC2=CC=CC=C2,Inconclusive,10,,,Activator,12.5893,58.4298,,Single point of activity,-4.9,4.095,0.8279,51.8544,-6.5754,3,1 0 0 0 0 0 0,51.2585,28.5612,-12.7823,-2.9961,10.463,-21.204,7.3853,51.2585,QC'd by SigmaAldrich
251,50106871,11957667,C1=CC(=CC=C1CCSC(=N)N)CCSC(=N)N.Br.Br,Inconclusive,10,,,Activator,22.3872,51.5543,,Single point of activity,-4.65,4.095,0.8703,49.1085,-2.4458,3,0 0 1 0 0 0 0,45.922,-1.8728,-6.4141,25.7411,-11.8527,10.9738,-0.7441,45.922,QC'd by SigmaAldrich
252,50104154,5546,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,Inconclusive,10,,,Activator,0.1122,42.2813,,Complete curve; partial efficacy; poor fit,-6.95,3.2975,0.7562,42.585,0.3036,1.4,0 1 0 0 0 0 0,55.3947,-0.1207,48.7031,9.7329,40.7333,51.0911,22.8701,55.3947,QC'd by SigmaAldrich
253,50104919,6604893,C1=CC(=CC(=C1)F)/C=N/N=C/C2=CC(=CC=C2)F,Inconclusive,10,,,Activator,10,117.344,,Partial curve; high efficacy,-5,4.4495,0.9773,115.831,-1.5132,2.1,1 0 0 0 0 0 0,117.01,28.1018,11.6064,-10.2771,-4.6974,-1.6383,43.7816,117.01,QC'd by SigmaAldrich
254,50106376,11665606,COC1=C(C=C(C=C1)CCN)O.Cl,Inconclusive,10,,,Activator,35.4813,41,,Single point of activity,-4.45,4.9549,0.866,65,24,3,0 0 0 0 0 0 0,56.291,28.0814,25.2652,30.9162,28.1023,23.2133,17.7796,56.291,QC'd by SigmaAldrich
255,50106188,547,C1=CC(=C(C=C1CC(=O)O)O)O,Inconclusive,10,,,Activator,8.9125,20,,Complete curve; partial efficacy; poor fit,-5.05,3.132,0.7682,48,28,1.4,0 0 0 1 0 0 0,47.6699,23.6865,36.0843,29.0067,49.8969,23.7896,39.2336,47.6699,QC'd by SigmaAldrich
256,50104771,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,Inconclusive,10,,,Activator,4.4668,59.2449,,Complete curve; partial efficacy,-5.35,4.9549,0.9507,62.5999,3.355,1.2,1 0 0 0 0 0 0,60.8576,-19.9191,15.4774,7.0211,-0.7053,-2.2189,62.6046,60.8576,QC'd by SigmaAldrich
257,50106938,12997925,C1=CC=C(C=C1)NC2=C3C(=NC=N2)N(C=N3)[C@H]4[C@@H]([C@H]([C@H](O4)CO)O)O,Inconclusive,10,,,Activator,8.9125,81.4972,,Partial curve; high efficacy,-5.05,3.132,0.9198,85.1183,3.6212,2.1,1 0 0 0 0 0 0,85.9459,36.8097,11.2842,16.4291,0.9899,-12.3271,44.695,85.9459,QC'd by SigmaAldrich
258,50104432,3870203,C1=C(C=C(C(=C1[N+](=O)[O-])O)O)[N+](=O)[O-],Inconclusive,10,,,Activator,4.4668,39.162,,Complete curve; partial efficacy; poor fit,-5.35,4.9549,0.7722,43.2193,4.0573,1.4,0 0 0 0 0 0 0,40.493,9.696,18.9041,-4.5356,15.054,-2.2402,45.0902,40.493,QC'd by SigmaAldrich
259,50105886,11957462,CN1CCC2=C1C=CC(=C2)NC(=O)NC3=CN=CC=C3.Cl,Inconclusive,10,,,Activator,2.2387,33,,Complete curve; partial efficacy,-5.65,3.0654,0.9583,56,23,1.2,0 0 1 0 0 0 0,51.5657,24.5531,24.6715,-10.985,20.4765,33.7507,60.376,51.5657,QC'd by SigmaAldrich
260,50104838,3820,C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)Br,Inconclusive,10,,,Activator,0.1259,83.0816,,Complete curve; high efficacy,-6.9,4.045,0.9448,109.71,26.6287,1.1,0 0 0 0 0 0 1,30.8783,15.2496,38.7885,35.5403,108.995,121.764,98.0017,30.8783,QC'd by SigmaAldrich
261,50105813,6076,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,Inconclusive,10,,,Activator,0.0316,12.5,,Complete curve; partial efficacy; poor fit,-7.5,4.9549,0.6425,45,32.5,1.4,0 0 0 1 0 0 0,42.0412,36.7966,27.9593,48.8068,60.0625,49.3139,39.5586,42.0412,QC'd by SigmaAldrich
262,50106558,9794588,CC1=NC(=CC=C1)C#CC2=CC=CC=C2.Cl,Inconclusive,10,,,Activator,1.5849,84.325,,Partial curve; partial efficacy,-5.8,0.4,0.9027,70.326,-13.9989,2.2,0 0 0 0 0 0 0,61.2757,-9.1318,1.3139,-2.8133,23.8542,31.8957,30.4585,61.2757,QC'd by SigmaAldrich
263,50105952,5702295,C1=CC=C(C=C1)CN=C(N)NC(=O)C2=C(N=C(C(=N2)Cl)N)N.Cl,Inconclusive,10,,,Activator,14.1254,58.7599,,Partial curve; partial efficacy; poor fit,-4.85,1.2221,0.8431,61.306,2.546,2.4,1 0 0 0 0 0 0,50.2021,17.685,15.5365,-3.3387,-7.3601,11.5678,23.2049,50.2021,QC'd by SigmaAldrich
264,50106806,120729,CC1(CCCC(N1C)(C)C)C.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,Inconclusive,10,,,Activator,19.9526,54.4111,,Single point of activity,-4.7,4.5045,0.6844,54.2982,-0.1128,3,0 0 0 1 0 0 0,52.9813,9.9311,18.5925,-3.8888,24.6282,-24.5875,1.89,52.9813,QC'd by SigmaAldrich
265,50106138,11957516,C1CN(CCC1=C(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)CCN4C(=O)C5C=CC=CC5=NC4=S,Inactive,0,,,Inactive,,,,,,,,,,4,,20.1154,8.2018,16.886,5.5373,29.9827,39.4329,8.4169,20.1154,QC'd by SigmaAldrich
266,50107062,11315337,C1CCN(C(C1)CN2CCCC2)C(=O)CC3=CC(=C(C=C3)Cl)Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,-32.8774,15.2251,1.7345,10.585,10.6247,4.2939,9.5695,-32.8774,QC'd by SigmaAldrich
267,50104655,4652,C1=CC(=CC=C1CC(C(=O)O)N)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,1.6442,-2.1716,-3.3437,-0.8671,8.8157,14.5416,1.7446,1.6442,QC'd by SigmaAldrich
268,50104796,4592,CN1C=NC2=C(N=C(N=C21)NCCO)NCC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,12.5609,-0.6376,4.5456,9.8885,22.4415,21.0692,-10.0906,12.5609,QC'd by SigmaAldrich
269,50106787,91505,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 1 0 0 0 0,-15.2226,14.1247,23.1966,-7.9429,17.9565,13.3952,-2.8844,-15.2226,QC'd by SigmaAldrich
270,50106988,71077,C([C@H](C(=O)O)N)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,-9.2394,12.2076,-0.5274,3.3367,-0.7996,43.3736,-27.5465,-9.2394,QC'd by SigmaAldrich
271,50106084,24867487,CCNC(=O)[C@@H]1[C@@H]([C@H]([C@@H](O1)N2C=NC3=C(N=C(N=C32)NCCC4=CC=C(C=C4)CCC(=O)O)N)O)O.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 1,18.4262,8.6224,47.4434,22.0538,20.7896,23.8205,0.4755,18.4262,QC'd by SigmaAldrich
272,50105583,4211,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-9.7203,1.7331,20.5498,17.5165,16.2338,25.4563,-3.7135,-9.7203,QC'd by SigmaAldrich
273,50106507,55305,CC(C)NC(C)CC1=CC=C(C=C1)I.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.7303,-37.3423,-2.3876,-16.1975,-0.2693,19.8214,-11.9845,-0.7303,QC'd by SigmaAldrich
274,26753526,71587,C1CN(CCN1CCCN2C3=CC=CC=C3C=CC4=CC=CC=C42)CCO.Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-30.3701,1.3909,9.1488,3.674,17.2179,37.2454,13.7449,-30.3701,QC'd by SigmaAldrich
275,50105861,186136,C1=CC(=CC=C1CCN)S(=O)(=O)F.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.3253,-16.1101,-2.5506,15.3433,-9.2616,0.9875,-10.8198,-0.3253,QC'd by SigmaAldrich
276,50105356,638278,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,27.969,4.3216,14.7481,12.6456,17.4013,14.0062,24.3148,27.969,QC'd by SigmaAldrich
277,50106137,29976,COC1=CC(=CC(=C1OC)OC)C(=O)OCCC[NH+]2CCC[NH+](CC2)CCCOC(=O)C3=CC(=C(C(=C3)OC)OC)OC.[Cl-].[Cl-],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-40.4793,-10.8881,1.5603,-0.2337,3.0008,23.4979,-24.5717,-40.4793,QC'd by SigmaAldrich
278,50107063,11957703,C=CCN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)O)O.Br,Inactive,0,,,Inactive,,,,,,,,,,4,,5.2578,7.8496,1.4151,16.7304,1.9213,21.7569,6.8279,5.2578,QC'd by SigmaAldrich
279,26753589,4170,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1,23.9082,-12.4519,14.468,8.297,4.4628,15.0173,-8.2988,23.9082,QC'd by SigmaAldrich
280,50104471,4201,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,Inactive,0,,,Inactive,,,,,,,,,,4,,0.884,-12.9118,1.4092,-1.8165,4.7429,20.1325,-16.4374,0.884,QC'd by SigmaAldrich
281,50106709,107759,COC1=CC=CC=C1CNCCCCCCNCCCCCCCCNCCCCCCNCC2=CC=CC=C2OC.Cl.Cl.Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0,-2.0073,5.3468,38.3481,-1.2912,17.9684,28.531,-5.6067,-2.0073,QC'd by SigmaAldrich
282,50106927,66366,CC(C)NC[C@H](COC1=CC=CC2=CC=CC=C21)O.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-12.2499,-7.982,22.3906,20.2314,17.5108,13.5108,11.2689,-12.2499,QC'd by SigmaAldrich
283,50106421,1864,CC(=O)NCCC1=CNC2=CC(=C(C=C21)OC)O,Inactive,0,,,Inactive,,,,,,,,,,4,,0.5957,7.0789,-10.8718,19.6456,-1.3752,10.2931,-5.5023,0.5957,QC'd by SigmaAldrich
284,50104360,68841,C([C@@H](C(=O)O)N)OP(=O)(O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,11.656,4.2354,26.1419,-20.0408,5.2592,33.1857,-1.4722,11.656,QC'd by SigmaAldrich
285,50104718,40632,CC1=CN(C(=O)C=C1)C2=CC=CC=C2,Inactive,0,,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 1,12.4027,12.0683,-0.134,14.2852,6.7516,11.1415,-15.2537,12.4027,QC'd by SigmaAldrich
286,50105799,3408,CC12CCC(=O)C(=C1CCC3C2CCC4(C3CCC4=O)C)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0,-20.8136,8.3507,-8.6807,7.0927,15.8884,27.1293,-3.9747,-20.8136,QC'd by SigmaAldrich
287,50106847,5795,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 1 0,-0.093,-29.4145,-10.5592,-0.6203,6.5658,1.258,-22.906,-0.093,QC'd by SigmaAldrich
288,50103916,2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.1307,-8.288,13.7686,-6.4248,7.13,34.8039,-10.2711,-4.1307,QC'd by SigmaAldrich
289,50106014,5281068,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,16.5953,-2.6039,0.3498,3.3987,11.9178,28.2986,1.0889,16.5953,QC'd by SigmaAldrich
290,50105176,4740,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,3.069,3.8171,15.3239,22.8401,16.0325,35.682,-8.6501,3.069,QC'd by SigmaAldrich
291,50106508,11957588,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)OCCCC3=CN=CN3)F.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1,-6.5106,-13.8429,-13.5496,14.2614,11.3865,9.3951,1.7883,-6.5106,QC'd by SigmaAldrich
292,50106207,6918215,CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,-2.659,-4.3689,-8.4275,-9.533,13.8053,45.788,6.3697,-2.659,QC'd by SigmaAldrich
293,50106296,6207,C(COCCOCCN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 1,4.6694,-2.4245,-8.6855,16.0709,2.8641,17.6912,9.2201,4.6694,QC'd by SigmaAldrich
294,50105862,1232,C1CN(C(=O)C1N)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,-8.606,-14.5993,14.3235,3.9675,4.2415,25.0332,-32.0849,-8.606,QC'd by SigmaAldrich
295,50105925,2578,C(CCl)NC(=O)N(CCCl)N=O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,1.5359,3.0007,24.1854,6.4535,-7.0367,45.0521,-8.3847,1.5359,QC'd by SigmaAldrich
296,50107206,736715,C1=C(NC=N1)/C=C/C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,1.0404,-3.6519,-0.3286,-0.3233,10.5799,46.4541,-5.4574,1.0404,QC'd by SigmaAldrich
297,50106140,11601888,C[C@@H]1O[C@@H](CS1)C[N+](C)(C)C.[I-],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-16.997,-7.953,-2.806,-19.2129,-15.2721,10.4524,-22.9884,-16.997,QC'd by SigmaAldrich
298,50106928,184822,CCCNC[C@@H](COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-48.5762,-2.7493,5.0308,8.2392,3.2978,25.7152,-0.0931,-48.5762,QC'd by SigmaAldrich
299,50106365,3661,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,11.6559,-9.5665,14.5674,14.9964,30.6131,35.0698,-13.3477,11.6559,QC'd by SigmaAldrich
300,50106851,11957665,CC1=CC(=CC=C1)C(=O)NCN2CCN(CC2)C3=CC=CC=C3C#N.C(=C\C(=O)O)\C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 1 0 1,9.776,35.8573,14.4738,9.5058,2.4856,54.2251,-13.8138,9.776,QC'd by SigmaAldrich
301,50107134,6419995,CC1=C2C(=CS1)C(=O)NC3=CC=CC=C3N2C(=O)CN4CCN(CC4)C.Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 1,-7.725,-1.5627,-1.0466,-6.1072,18.8865,10.3403,5.9673,-7.725,QC'd by SigmaAldrich
302,50106488,24867507,CNC(=O)[C@@H]1[C@@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)NCC4=CC(=CC=C4)I)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-12.9439,4.3139,13.7997,16.3879,-8.9003,0.5766,-2.7493,-12.9439,QC'd by SigmaAldrich
303,26753666,8514,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])C.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-19.524,-11.3773,9.7608,-4.0885,24.177,37.2252,-10.825,-19.524,QC'd by SigmaAldrich
304,50105802,11957445,C1CC1(C(=O)O)N.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,20.4772,7.1301,14.3965,10.9248,21.3029,35.4298,11.467,20.4772,QC'd by SigmaAldrich
305,50106210,3053,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-18.9039,8.6459,7.9221,8.7812,-4.2067,22.029,-1.9466,-18.9039,QC'd by SigmaAldrich
306,50104611,4671,CCCCCCCCCCCCCCCC(=O)NCCO,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,8.3553,-2.8816,10.8516,11.0744,-1.9275,23.9528,-3.8281,8.3553,QC'd by SigmaAldrich
307,50106568,104762,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)O)C(=O)N,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,-6.7608,2.5165,-0.7052,8.6695,20.2145,34.8751,12.481,-6.7608,QC'd by SigmaAldrich
308,50104235,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,3.596,-8.8811,-5.6334,6.781,11.7851,17.6765,-26.7539,3.596,QC'd by SigmaAldrich
309,50106850,23682212,CC(=O)[C@H]1CCC2[C@@]1(CCC3C2CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)[O-])C)C.[Na+],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1,-2.5201,-3.1272,7.2697,-5.2428,23.8471,22.7846,15.1036,-2.5201,QC'd by SigmaAldrich
310,50106364,66091,C1=C(NC=N1)C[C@@H](C(=O)O)N.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-3.6727,-16.9627,9.5716,-3.1339,0.0955,15.5559,-6.6481,-3.6727,QC'd by SigmaAldrich
311,50106419,2935,C(CC(=O)NCS(=O)(=O)O)C(C(=O)O)N,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,12.1394,-7.3157,11.475,1.5763,11.3504,15.7453,-5.5171,12.1394,QC'd by SigmaAldrich
312,50106707,181458,CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,20.6868,-13.8392,23.2824,8.2616,16.821,18.3172,-3.568,20.6868,QC'd by SigmaAldrich
313,50106017,5281070,CN(C)CC[C@@H](C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,29.2845,13.1607,13.4547,24.2875,8.1702,29.5369,6.5386,29.2845,QC'd by SigmaAldrich
