PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
58,504778036,172433154,CC1=NC=C(C=N1)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,4.507,EC50,=,4507,,nM,
59,504778036,172433154,CC1=NC=C(C=N1)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
60,504778036,172433154,CC1=NC=C(C=N1)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
61,504778037,172433155,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
62,504778037,172433155,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
63,504778038,171389897,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C(=CN4)C(=O)NC,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
64,504778038,171389897,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C(=CN4)C(=O)NC,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
65,504778039,172433156,CC(C)(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,1.048,EC50,=,1048,,nM,
66,504778039,172433156,CC(C)(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,2.125,EC90,=,2.125,,uM,
67,504778039,172433156,CC(C)(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,1.119,EC50,=,1119,,nM,
68,504778039,172433156,CC(C)(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,3.301,EC90,=,3.301,,uM,
69,504778040,172433157,C[C@H]([C@@H](C1=CC=C(C=C1)Br)NC(=O)C2=C3C=CNC3=NC=N2)C(=O)O,Unspecified,,,,,EC50,,,Could not be calculated,,
70,504778040,172433157,C[C@H]([C@@H](C1=CC=C(C=C1)Br)NC(=O)C2=C3C=CNC3=NC=N2)C(=O)O,Unspecified,,,,,EC90,,,Could not be calculated,,
71,504778041,171389929,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@H](C3=CC4=C(C=C3)OCCO4)C(C)C,Unspecified,,,,19.696,EC50,=,19696,,nM,
72,504778041,171389929,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@H](C3=CC4=C(C=C3)OCCO4)C(C)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
73,504778042,172433158,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=NN(N=C5)C,Active,,,,5.331,EC50,=,5331,,nM,
74,504778042,172433158,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=NN(N=C5)C,Active,,,,6.653,EC50,=,6653,,nM,
75,504778042,172433158,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=NN(N=C5)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
76,504778042,172433158,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=NN(N=C5)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
77,504778043,172433159,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
78,504778043,172433159,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
79,504778043,172433159,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
80,504778043,172433159,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
81,504778044,172433160,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CCC(=O)N,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
82,504778044,172433160,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CCC(=O)N,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
83,504778044,172433160,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CCC(=O)N,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
84,504778044,172433160,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CCC(=O)N,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
85,504778045,171389883,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
86,504778045,171389883,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
87,504778046,172433161,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN6C=NC=C6C=C5,Active,,,,7.123,EC50,=,7123,,nM,
88,504778046,172433161,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN6C=NC=C6C=C5,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
89,504778047,172433162,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC(=CN=C5)S(=O)(=O)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
90,504778047,172433162,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC(=CN=C5)S(=O)(=O)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
91,504778048,172433163,CC(C)(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
92,504778048,172433163,CC(C)(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
93,504778049,172433164,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)N,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
94,504778049,172433164,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)N,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
95,504778049,172433164,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)N,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
96,504778049,172433164,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)N,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
97,504778050,172433165,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
98,504778050,172433165,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
99,504778051,172433166,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)NC,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
100,504778051,172433166,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)NC,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
101,504778052,171389880,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC(=CC=C5)C(=O)NC,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
102,504778052,171389880,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC(=CC=C5)C(=O)NC,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
103,504778053,172433167,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N(C)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
104,504778053,172433167,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N(C)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
105,504778053,172433167,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N(C)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
106,504778053,172433167,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N(C)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
