PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,,
715,504841472,172472217,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=NN4,Active,,,,1.56,IC50,=,1560,,nM,,
716,504841472,172472217,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=NN4,Active,,,,0.77,IC50,=,770,,nM,,
717,504841473,172472218,CC1=C(C=CO1)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,8.537,IC50,=,8537,,nM,,
718,504841473,172472218,CC1=C(C=CO1)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,8.993,IC50,=,8993,,nM,,
719,504841473,172472218,CC1=C(C=CO1)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,9.514,IC50,=,9514,,nM,,
720,504841474,172472219,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=CN=C(C=C3)N(C)C)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
721,504841474,172472219,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=CN=C(C=C3)N(C)C)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
722,504841475,172472220,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC=C3N4CCOCC4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
723,504841476,172472221,CC1=NC2=C(S1)C=C(C=C2)C(=O)N(C)CC[C@H](C(C)C)NC3=NC=NC4=C3C=CN4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
724,504841476,172472221,CC1=NC2=C(S1)C=C(C=C2)C(=O)N(C)CC[C@H](C(C)C)NC3=NC=NC4=C3C=CN4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
725,504841477,172472222,CC1=CC2=C(C=CC=C2N1)C(=O)N[C@@H](CC(=O)O)C3=CC=C(C=C3)Br,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
726,504841477,172472222,CC1=CC2=C(C=CC=C2N1)C(=O)N[C@@H](CC(=O)O)C3=CC=C(C=C3)Br,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
727,504841478,172472223,CC1=CC(=NN1C)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,2.794,IC50,=,2794,,nM,,
728,504841478,172472223,CC1=CC(=NN1C)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,1.625,IC50,=,1625,,nM,,
729,504841479,172472224,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=C4C=NNC4=NC=C3,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
730,504841480,172472225,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=C(C=CC=N3)Cl)C,Unspecified,,,,49.309,IC50,=,49309,,nM,,
731,504841480,172472225,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=C(C=CC=N3)Cl)C,Unspecified,,,,60.336,IC50,=,60336,,nM,,
732,504841481,172472226,CC(C)[C@@H](C1=CC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=CN4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
733,504841482,172472227,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5C#N)C,Active,,,,0.871,IC50,=,871,,nM,,
734,504841482,172472227,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5C#N)C,Active,,,,0.843,IC50,=,843,,nM,,
735,504841483,172472228,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CC=NN5,Active,,,,1.809,IC50,=,1809,,nM,,
736,504841483,172472228,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CC=NN5,Active,,,,1.882,IC50,=,1882,,nM,,
737,504841484,172472229,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3NN=C4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
738,504841485,172472230,CC1=C(C(=NN1)C)C(=O)N2CCC(CC2)C3=CC4=C(C=NN4C=C3)C(=O)N5CCCCC5,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
739,504841486,172472231,COC1=NNC(=C1)NC2=CC=C(C=C2)C(=O)N[C@H]3[C@H](CC4=C3C=CC=C4O)C(=O)O,Active,,,,2.676,IC50,=,2676,,nM,,
740,504841486,172472231,COC1=NNC(=C1)NC2=CC=C(C=C2)C(=O)N[C@H]3[C@H](CC4=C3C=CC=C4O)C(=O)O,Active,,,,2.708,IC50,=,2708,,nM,,
741,504841486,172472231,COC1=NNC(=C1)NC2=CC=C(C=C2)C(=O)N[C@H]3[C@H](CC4=C3C=CC=C4O)C(=O)O,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
742,504841487,172472232,CN1C2=CC=CC=C2C(=C1C(=O)O)NC(=O)C3=CC=C(C=C3)NC(=O)NC4CC4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
743,504841488,172472233,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=C4CCOC4=NC=N3,Unspecified,,,,62.908,IC50,=,62908,,nM,,
744,504841489,171389887,CC(C)[C@H](C(F)F)NC1=NC=NC2=C1C=CN2,Unspecified,,,,15.162,IC50,=,15162,,nM,,
745,504841490,172472234,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=C4CCOC4=NC=N3,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
746,504841491,95727593,C1C[C@H](CN(C1)C2=NC=NC3=C2C=CN3)NC4=CC5=C(C=C4)OCCO5,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
747,504841492,172472235,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC(=O)C3=CC=NC4=CC=CC=C34,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
748,504841493,172472236,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3CNCC4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
749,504841494,172472237,CC1=C(N=C(C(=O)N1)C(=O)N2CCC(CC2)C3=CC4=C(C=NN4C=C3)C(=O)N5CCCCC5)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
750,504841495,172472238,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)O,Unspecified,,,,11.659,IC50,=,11659,,nM,,
751,504841495,172472238,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)O,Unspecified,,,,11.537,IC50,=,11537,,nM,,
752,504841496,171389867,C1=CC(=CC=C1[C@@H](CC(=O)O)NC(=O)C2=NC3=C(C=C2)NC=C3)Br,Unspecified,,,,41.212,IC50,=,41212,,nM,,
753,504841496,171389867,C1=CC(=CC=C1[C@@H](CC(=O)O)NC(=O)C2=NC3=C(C=C2)NC=C3)Br,Unspecified,,,,38.323,IC50,=,38323,,nM,,
754,504841497,172472239,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC(=C3)NCC(F)(F)F,Active,,,,2.245,IC50,=,2245,,nM,,
755,504841498,172472240,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NCC5=NN(C=C5)C,Active,,,,0.955,IC50,=,955,,nM,,
756,504841498,172472240,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NCC5=NN(C=C5)C,Active,,,,1.044,IC50,=,1044,,nM,,
757,504841499,53587725,C1=CNC2=C1C(=NC=N2)SC3=NNC(=N3)C4=CC=NC=C4,Unspecified,,,,124.375,IC50,>,124375,,nM,Falls Outside The Dose Series,Outside typical range
758,504841500,172472241,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NC5COC5,Active,,,,0.743,IC50,=,743,,nM,,
759,504841500,172472241,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NC5COC5,Active,,,,1.537,IC50,=,1537,,nM,,
760,504841501,172472242,CC(C)C1=C(NN=C1)NC(=O)C2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
761,504841502,172472243,C1CC[C@@H]([C@H](C1)NC2=NC=NC3=C2C=CN3)O,Unspecified,,,,55.365,IC50,=,55365,,nM,,
762,504841502,172472243,C1CC[C@@H]([C@H](C1)NC2=NC=NC3=C2C=CN3)O,Unspecified,,,,64.688,IC50,=,64688,,nM,,
763,504841503,172472244,C1CC1C[C@H](C(=O)O)NC2=NC=NC3=C2C=CN3,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
764,504841503,172472244,C1CC1C[C@H](C(=O)O)NC2=NC=NC3=C2C=CN3,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
765,504841503,172472244,C1CC1C[C@H](C(=O)O)NC2=NC=NC3=C2C=CN3,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
766,504841503,172472244,C1CC1C[C@H](C(=O)O)NC2=NC=NC3=C2C=CN3,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
767,504841504,172472245,CC1=NC(=C2C=CNC2=N1)C(=O)N[C@@H](CC(=O)O)C3=CC=C(C=C3)Br,Active,,,,2.589,IC50,=,2589,,nM,,
768,504841504,172472245,CC1=NC(=C2C=CNC2=N1)C(=O)N[C@@H](CC(=O)O)C3=CC=C(C=C3)Br,Active,,,,3.177,IC50,=,3177,,nM,,
769,504841505,172472246,CC(C)(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Active,,,,0.282,IC50,=,282,,nM,,
770,504841505,172472246,CC(C)(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Active,,,,0.269,IC50,=,269,,nM,,
771,504841505,172472246,CC(C)(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Unspecified,,,,75.56,IC50,=,75560,,nM,,
772,504841506,129380576,CC1=C2C=C(C=NC2=NN1)C(=O)N[C@@H](C3=CC4=C(C=C3)OCCO4)C(C)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
773,504841507,172472247,CCC[C@H](C(=O)O)NC1=NC=NC2=C1C=CN2,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
774,504841507,172472247,CCC[C@H](C(=O)O)NC1=NC=NC2=C1C=CN2,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
775,504841508,172472248,CC(C)[C@H](C1=CC2=C(N=C1)OCCO2)NC3=NC=NC4=C3C=CN4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
776,504841509,172472249,CN1C=C(C=N1)[C@H](C2CCC2)NC(=O)C3=CNC4=C3C=CC=C4NC(=O)NC5CC5,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
777,504841510,172472250,CC1=C(C(=NO1)COC)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
778,504841510,172472250,CC1=C(C(=NO1)COC)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
779,504841511,172472251,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=CN4,Active,,,,2.27,IC50,=,2270,,nM,,
780,504841511,172472251,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=CN4,Active,,,,1.017,IC50,=,1017,,nM,,
781,504841511,172472251,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=CN4,Active,,,,0.9,IC50,=,900,,nM,,
782,504841511,172472251,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=CN4,Active,,,,1.072,IC50,=,1072,,nM,,
783,504841511,172472251,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=CN4,Active,,,,1.062,IC50,=,1062,,nM,,
784,504841512,172472252,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)[C@]5(CCCNC5)O,Unspecified,,,,17.844,IC50,=,17844,,nM,,
785,504841512,172472252,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)[C@]5(CCCNC5)O,Unspecified,,,,13.947,IC50,=,13947,,nM,,
786,504841513,172472253,C1=CC(=CC=C1[C@@H](CS(=O)(=O)N)NC(=O)C2=C3C=CNC3=NC=N2)Br,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
787,504841513,172472253,C1=CC(=CC=C1[C@@H](CS(=O)(=O)N)NC(=O)C2=C3C=CNC3=NC=N2)Br,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
788,504841514,172472254,CC(C)[C@H](C1=CC2=C(C=C1)C=NN2)NC3=NC=NC4=C3C=CN4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
789,504841515,172472255,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C(=CN4)C(=O)NC,Active,,,,0.728,IC50,=,728,,nM,,
790,504841515,172472255,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C(=CN4)C(=O)NC,Active,,,,0.692,IC50,=,692,,nM,,
791,504841516,172472256,CC1=CC(=NN1)CNC(=O)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,1.197,IC50,=,1197,,nM,,
792,504841517,172472257,CS(=O)(=O)NC1CCC(CC1)NC2=CC=C(C=C2)[C@@H](CC(=O)O)NC(=O)C3=C4C=CNC4=NC=N3,Unspecified,,,,73.741,IC50,=,73741,,nM,,
793,504841517,172472257,CS(=O)(=O)NC1CCC(CC1)NC2=CC=C(C=C2)[C@@H](CC(=O)O)NC(=O)C3=C4C=CNC4=NC=N3,Unspecified,,,,86.018,IC50,=,86018,,nM,,
794,504841518,92791952,CC1=NN=C(C2=CC=CC=C12)N[C@@H](C3=CC4=C(C=C3)OCCO4)C(C)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
795,504841519,172472258,CN1C=C(C=N1)[C@H](C2=CC=C(C=C2)F)NC3=NC=NC4=C3C=CN4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
796,504841519,172472258,CN1C=C(C=N1)[C@H](C2=CC=C(C=C2)F)NC3=NC=NC4=C3C=CN4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
797,504841520,172472259,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NC5=CNC=CC5=O,Active,,,,9.976,IC50,=,9976,,nM,,
798,504841520,172472259,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NC5=CNC=CC5=O,Unspecified,,,,17.943,IC50,=,17943,,nM,,
799,504841521,172472260,C1CCN2C(=CC(=N2)CNC(=O)C3=CC4=CN=CN=C4N3)C1,Unspecified,,,,124.375,IC50,>,124375,,nM,Falls Outside The Dose Series,Outside typical range
800,504841522,172472261,CN=C(C[C@H](C1=CC=C(C=C1)Br)NC(=O)C2=C3C=CNC3=NC=N2)N,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
801,504841523,172472262,C1CC1NC(=O)NC2=CC=CC3=C2NC=C3C(=O)N[C@@H]4[C@@H](CC5=CC=CC=C45)C(=O)O,Active,,,,7.83,IC50,=,7830,,nM,,
802,504841523,172472262,C1CC1NC(=O)NC2=CC=CC3=C2NC=C3C(=O)N[C@@H]4[C@@H](CC5=CC=CC=C45)C(=O)O,Active,,,,6.577,IC50,=,6577,,nM,,
803,504841524,172472263,CC(C)[C@H](C1=CC(=CC=C1)C(F)(F)F)NC2=NC=NC3=C2C=CN3,Unspecified,,,,83.162,IC50,=,83162,,nM,,
804,504841524,172472263,CC(C)[C@H](C1=CC(=CC=C1)C(F)(F)F)NC2=NC=NC3=C2C=CN3,Unspecified,,,,77.592,IC50,=,77592,,nM,,
805,504841525,172472264,C[C@H]([C@@H]1CCCCO1)NC2=NC=NC3=C2C=CN3,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
806,504841525,172472264,C[C@H]([C@@H]1CCCCO1)NC2=NC=NC3=C2C=CN3,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
807,504841526,172472265,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC(=C3)NCC(F)(F)F,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
808,504841527,172472266,C1CC1NC(=O)NC2=CC=C(C=C2)C(=O)NC3=C(SC4=C3C=CC=N4)C(=O)O,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
809,504841528,172472267,CC(C)[C@H](C1=CC2=C(CCN(S2(=O)=O)C)C=C1)NC3=NC=NC4=C3C=CN4,Active,,,,5.756,IC50,=,5756,,nM,,
810,504841528,172472267,CC(C)[C@H](C1=CC2=C(CCN(S2(=O)=O)C)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,17.018,IC50,=,17018,,nM,,
811,504841529,172472268,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NCC5=CN=CO5,Active,,,,0.639,IC50,=,639,,nM,,
812,504841529,172472268,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NCC5=CN=CO5,Active,,,,1.758,IC50,=,1758,,nM,,
813,504841530,172472269,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NCC5=NCCCN5,Active,,,,3.681,IC50,=,3681,,nM,,
814,504841530,172472269,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NCC5=NCCCN5,Active,,,,7.822,IC50,=,7822,,nM,,
815,504841531,172472270,C1CCN(CC1)C(=O)C2=C3C=C(C=CN3N=C2)C4CCN(CC4)C(=O)C5=NNN=N5,Unspecified,,,,28.285,IC50,=,28285,,nM,,
816,504841532,172472271,C1CC1NC(=O)NC2=CC=CC3=C2NC=C3C(=O)N[C@@H](C4=CC=CC=C4)C(F)F,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
817,504841533,172472272,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC(=O)N(C=C5)C,Active,,,,0.074,IC50,=,74,,nM,,
818,504841533,172472272,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC(=O)N(C=C5)C,Active,,,,0.063,IC50,=,63,,nM,,
819,504841533,172472272,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC(=O)N(C=C5)C,Active,,,,0.112,IC50,=,112,,nM,,
820,504841534,172472273,C1CCN(CC1)C(=O)C2=C3C=C(C=CN3N=C2)C4CCN(CC4)C(=O)C5=CN=CN5,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
821,504841535,166184215,C1=CC=C(C=C1)C2=NOC(=C2)CNC3=NC=NC4=C3C=CN4,Unspecified,,,,124.375,IC50,>,124375,,nM,Falls Outside The Dose Series,Outside typical range
822,504841536,172472274,C1=CC2=C(NC=C2C(=O)N[C@H](CC(=O)O)C3=CC=C(C=C3)Br)N=C1,Unspecified,,,,27.379,IC50,=,27379,,nM,,
823,504841536,172472274,C1=CC2=C(NC=C2C(=O)N[C@H](CC(=O)O)C3=CC=C(C=C3)Br)N=C1,Unspecified,,,,29.017,IC50,=,29017,,nM,,
824,504841537,172472275,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)CCOC)C#N,Active,,,,0.394,IC50,=,394,,nM,,
825,504841537,172472275,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)CCOC)C#N,Active,,,,0.449,IC50,=,449,,nM,,
826,504841538,172472276,C1CC1NC(=O)NC2=CC=C(C=C2)C(=O)N[C@@H](CC(=O)O)C3=CN=CC=C3,Unspecified,,,,50.132,IC50,=,50132,,nM,,
827,504841538,172472276,C1CC1NC(=O)NC2=CC=C(C=C2)C(=O)N[C@@H](CC(=O)O)C3=CN=CC=C3,Unspecified,,,,58.401,IC50,=,58401,,nM,,
828,504841539,172472277,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@H](C3=CC4=C(C=C3)OCS(=O)(=O)N4)C(C)C,Active,,,,0.029,IC50,=,29,,nM,,
829,504841539,172472277,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@H](C3=CC4=C(C=C3)OCS(=O)(=O)N4)C(C)C,Active,,,,0.038,IC50,=,38,,nM,,
830,504841539,172472277,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@H](C3=CC4=C(C=C3)OCS(=O)(=O)N4)C(C)C,Active,,,,0.037,IC50,=,37,,nM,,
831,504841540,172472278,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3[C@@H]5CC[C@H](C4)N5C(=O)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
832,504841541,172472279,C[C@H]1C[C@H]1C2=NN=C(O2)NC3=CC=C(C=C3)[C@@H](CC(=O)O)NC(=O)C4=C5C=CNC5=NC=N4,Active,,,,7.859,IC50,=,7859,,nM,,
833,504841541,172472279,C[C@H]1C[C@H]1C2=NN=C(O2)NC3=CC=C(C=C3)[C@@H](CC(=O)O)NC(=O)C4=C5C=CNC5=NC=N4,Active,,,,6.043,IC50,=,6043,,nM,,
834,504841542,172472280,C1CN(CCN1)C(=O)CCN(CC2=CC(=CC=C2)Cl)C(=O)C3=NC=C(C=C3)F,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
835,504841543,172472281,CC1=CC=C(C=C1)C(=O)N2CCC(CC2)C3=CC4=C(C=NN4C=C3)C(=O)N[C@@H]5CCC[C@@H]5C(=O)O,Unspecified,,,,20.662,IC50,=,20662,,nM,,
836,504841543,172472281,CC1=CC=C(C=C1)C(=O)N2CCC(CC2)C3=CC4=C(C=NN4C=C3)C(=O)N[C@@H]5CCC[C@@H]5C(=O)O,Unspecified,,,,21.768,IC50,=,21768,,nM,,
837,504841544,172472282,C1CCN(CC1)C(=O)C2=C3C=C(C=CN3N=C2)C4CCN(CC4)C(=O)C5=CC=CNC5=S,Unspecified,,,,61.559,IC50,=,61559,,nM,,
838,504841545,172472283,CC1=COC=C1C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,2.506,IC50,=,2506,,nM,,
839,504841545,172472283,CC1=COC=C1C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,2.58,IC50,=,2580,,nM,,
840,504841546,172472284,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=CN=C(C=C3)N4C=CC=C4)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
841,504841547,172472285,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=CC(=O)NC=N3,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
842,504841548,172472286,C1CCN(CC1)C(=O)C2=C3C=C(C=CN3N=C2)C4CCN(CC4)C(=O)C5=CC(=O)C=CN5,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
843,504841549,172472287,C1CC1NC(=O)NC2=CC=C(C=C2)C(=O)NC3=C(SC4=C3C=CN=C4)C(=O)O,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
844,504841549,172472287,C1CC1NC(=O)NC2=CC=C(C=C2)C(=O)NC3=C(SC4=C3C=CN=C4)C(=O)O,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
845,504841550,172472288,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NC5=CON=C5,Active,,,,1.97,IC50,=,1970,,nM,,
846,504841550,172472288,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NC5=CON=C5,Active,,,,5.692,IC50,=,5692,,nM,,
847,504841551,122050876,CC(C)[C@H](C(=O)O)NC1=NC=NC2=C1C=CN2,Unspecified,,,,15.356,IC50,=,15356,,nM,,
848,504841551,122050876,CC(C)[C@H](C(=O)O)NC1=NC=NC2=C1C=CN2,Unspecified,,,,16.798,IC50,=,16798,,nM,,
